Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,1.2759092900626359,1.2423327297978297,1.2465300559997559,737600,0.0,0.0
1973-02-22,0.0,1.2885009299397643,1.2507270383834839,1.2591211795806885,176000,0.0,0.0
1973-02-23,0.0,1.2843038573266747,1.2633187563497246,1.2717128992080688,182400,0.0,0.0
1973-02-26,0.0,1.2926973605928482,1.2717122699987609,1.2885005474090576,273600,0.0,0.0
1973-02-27,0.0,1.2968949151909561,1.2381359338760376,1.2381359338760376,478400,0.0,0.0
1973-02-28,0.0,1.283898339976907,1.2415254660048474,1.2754237651824951,296000,0.021875,0.0
1973-03-01,0.0,1.2838990419332612,1.2584753036499023,1.2584753036499023,160000,0.0,0.0
1973-03-02,0.0,1.292372703552246,1.2288131443585215,1.292372703552246,350400,0.0,0.0
1973-03-05,0.0,1.300847276961615,1.2881351582241054,1.292372703552246,60800,0.0,0.0
1973-03-06,0.0,1.3135598812784468,1.2966107215200153,1.305085301399231,185600,0.0,0.0
1973-03-07,0.0,1.3220336298788748,1.3008474521261018,1.3135590553283691,366400,0.0,0.0
1973-03-08,0.0,1.3516957753101893,1.3262720351844237,1.330509066581726,539200,0.0,0.0
1973-03-09,0.0,1.3305086982555878,1.313559542863797,1.3220341205596924,96000,0.0,0.0
1973-03-12,0.0,1.322034094923387,1.3093224872496287,1.317797064781189,64000,0.0,0.0
1973-03-13,0.0,1.3220341205596924,1.309322512639436,1.3220341205596924,278400,0.0,0.0
1973-03-14,0.0,1.3389832609532246,1.3220341057512852,1.326271653175354,123200,0.0,0.0
1973-03-15,0.0,1.3432211952682673,1.330509066581726,1.330509066581726,100800,0.0,0.0
1973-03-16,0.0,1.3262711330170964,1.2838982616307189,1.288135290145874,344000,0.0,0.0
1973-03-19,0.0,1.300847475602105,1.2627116308131126,1.26694917678833,104000,0.0,0.0
1973-03-20,0.0,1.27966078022,1.26694917678833,1.26694917678833,89600,0.0,0.0
1973-03-21,0.0,1.2923729005574265,1.2542370557785034,1.2542370557785034,144000,0.0,0.0
1973-03-22,0.0,1.2372888011124448,1.22033963945337,1.2245771884918213,220800,0.0,0.0
1973-03-23,0.0,1.2372882106084742,1.220339057038495,1.2330511808395386,132800,0.0,0.0
1973-03-26,0.0,1.2457629336069709,1.220339200268053,1.2372883558273315,190400,0.0,0.0
1973-03-27,0.0,1.2669498830776886,1.250000724222116,1.2584753036499023,83200,0.0,0.0
1973-03-28,0.0,1.2754240058046395,1.2542373061980177,1.2627118825912476,91200,0.0,0.0
1973-03-29,0.0,1.2669494294114096,1.245762729804788,1.2627118825912476,155200,0.0,0.0
1973-03-30,0.0,1.271186914167942,1.2584753036499023,1.2584753036499023,57600,0.0,0.0
1973-04-02,0.0,1.2627120740142772,1.2415258884429932,1.2415258884429932,112000,0.0,0.0
1973-04-03,0.0,1.258475058900019,1.2330513255611013,1.2372883558273315,160000,0.0,0.0
1973-04-04,0.0,1.2584750437988896,1.2415258884429932,1.2415258884429932,81600,0.0,0.0
1973-04-05,0.0,1.2500003490581955,1.228813648223877,1.228813648223877,132800,0.0,0.0
1973-04-06,0.0,1.25423751138661,1.2245767477814622,1.2372883558273315,268800,0.0,0.0
1973-04-09,0.0,1.2542370557785034,1.2161017282465714,1.2542370557785034,144000,0.0,0.0
1973-04-10,0.0,1.2754237651824951,1.254237069572967,1.2754237651824951,440000,0.0,0.0
1973-04-11,0.0,1.296610212483943,1.2669494531748557,1.2796610593795776,246400,0.0,0.0
1973-04-12,0.0,1.313559495454323,1.292373310602831,1.3008478879928589,232000,0.0,0.0
1973-04-13,0.0,1.3177974298417083,1.2966107215200153,1.305085301399231,235200,0.0,0.0
