Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-09-22,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,7435800,0.0,0.0
1981-09-23,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,7380000,0.0,0.0
1981-09-24,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,5065500,0.0,0.0
1981-09-25,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,7306500,0.0,0.0
1981-09-28,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,5794500,0.0,0.0
1981-09-29,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,3953100,0.0,0.0
1981-09-30,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,5248800,0.0,0.0
1981-10-01,0.018405037000775337,0.018405037000775337,0.018405037000775337,0.018405037000775337,4374000,0.0,0.0
1981-10-02,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,3479700,0.0,0.0
1981-10-05,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,1766100,0.0,0.0
1981-10-06,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,2514600,0.0,0.0
1981-10-07,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,4190700,0.0,0.0
1981-10-08,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,126300,0.0,0.0
1981-10-09,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,5612700,0.0,0.0
1981-10-12,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,363900,0.0,0.0
1981-10-13,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,1146900,0.0,0.0
1981-10-14,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,363900,0.0,0.0
1981-10-15,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,3097800,0.0,0.0
1981-10-16,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,291600,0.0,0.0
1981-10-19,0.018405037000775337,0.02446523220835215,0.018405037000775337,0.018405037000775337,1220400,0.0,0.0
1981-10-20,0.02446523681282997,0.02446523681282997,0.02446523681282997,0.02446523681282997,1494000,0.0,0.0
1981-10-21,0.02446523681282997,0.02446523681282997,0.02446523681282997,0.02446523681282997,7106700,0.0,0.0
1981-10-22,0.02446523681282997,0.02446523681282997,0.02446523681282997,0.02446523681282997,6377700,0.0,0.0
1981-10-23,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,3917100,0.0,0.0
1981-10-26,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,4300500,0.0,0.0
1981-10-27,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,1238700,0.0,0.0
1981-10-28,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,3425700,0.0,0.0
1981-10-29,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,599700,0.0,0.0
1981-10-30,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,417900,0.0,0.0
1981-11-02,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,837300,0.0,0.0
1981-11-03,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,1092900,0.0,0.0
1981-11-04,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,1110600,0.0,0.0
1981-11-05,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,4244700,0.0,0.0
1981-11-06,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,126300,0.0,0.0
1981-11-09,0.0307498834383438,0.0307498834383438,0.02446523681282997,0.02446523681282997,4428000,0.0,0.0
1981-11-10,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,2786700,0.0,0.0
1981-11-11,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,363900,0.0,0.0
1981-11-12,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,673200,0.0,0.0
1981-11-13,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,291600,0.0,0.0
1981-11-16,0.02446523681282997,0.0307498834383438,0.02446523681282997,0.02446523681282997,2860200,0.0,0.0
1981-11-17,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,145800,0.0,0.0
1981-11-18,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,363900,0.0,0.0
1981-11-19,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,145800,0.0,0.0
1981-11-20,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,2660400,0.0,0.0
1981-11-23,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,910800,0.0,0.0
1981-11-24,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,327600,0.0,0.0
1981-11-25,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,199800,0.0,0.0
1981-11-27,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,145800,0.0,0.0
1981-11-30,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,90000,0.0,0.0
1981-12-01,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,145800,0.0,0.0
1981-12-02,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,363900,0.0,0.0
1981-12-03,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,1693800,0.0,0.0
1981-12-04,0.03074987605214119,0.0368100720875109,0.03074987605214119,0.03074987605214119,4773900,0.0,0.0
1981-12-07,0.036810074001550674,0.036810074001550674,0.036810074001550674,0.036810074001550674,3953100,0.0,0.0
1981-12-08,0.036810074001550674,0.036810074001550674,0.036810074001550674,0.036810074001550674,2860200,0.0,0.0
1981-12-09,0.036810074001550674,0.036810074001550674,0.036810074001550674,0.036810074001550674,1220400,0.0,0.0
1981-12-10,0.036810074001550674,0.036810074001550674,0.036810074001550674,0.036810074001550674,745500,0.0,0.0
1981-12-11,0.036810074001550674,0.036810074001550674,0.036810074001550674,0.036810074001550674,272100,0.0,0.0
1981-12-14,0.0368100720875109,0.0368100720875109,0.03074987605214119,0.03074987605214119,1657800,0.0,0.0
1981-12-15,0.03074987605214119,0.03074987605214119,0.03074987605214119,0.03074987605214119,2860200,0.0,0.0
