Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-08-08,34.67879556965183,34.67879556965183,33.52858676137151,34.046180725097656,245500,0.0,0
1997-08-11,34.04616941701374,34.27621110226384,33.24102351863842,33.87363815307617,243600,0.0,0
1997-08-12,33.81611625555203,34.046157862732656,33.75860585375687,33.9886474609375,405500,0.0,0
1997-08-13,34.04617268880209,34.506256103515625,32.89596415201823,34.506256103515625,405700,0.0,0
1997-08-14,34.27622261693922,34.39124349820412,33.47107644808494,33.93115997314453,195600,0.0,0
1997-08-15,33.70108807066284,33.81610884906101,32.895942621875676,33.183494567871094,260500,0.0,0
1997-08-18,33.29851534626926,33.35602573546834,32.78092184347751,33.183494567871094,180600,0.0,0
1997-08-19,33.126003172983346,33.241024017333984,31.97579472947698,33.241024017333984,703300,0.0,0
1997-08-20,33.125995870633794,33.356037508624304,32.43587095666226,32.72342300415039,1029500,0.0,0
1997-08-21,32.66592423430586,32.89596595426576,32.32086165436601,32.49339294433594,1406500,0.0,0
1997-08-22,32.09081993440611,32.49339294433594,31.97579907442616,32.49339294433594,157300,0.0,0
1997-08-25,33.12600272042411,33.93114861987886,33.06849229903448,33.81612777709961,1698400,0.0,0
1997-08-26,34.046172292608965,35.31140166834781,34.046172292608965,34.966339111328125,589700,0.0,0
1997-08-27,34.966343210704295,35.253895375266005,34.62128061323023,34.67879104614258,716300,0.0,0
1997-08-28,34.73628181238144,36.05902102046881,34.44872981062331,36.00151062011719,1333100,0.0,0
1997-08-29,36.116546105517656,36.80667119033646,36.116546105517656,36.74916076660156,1840400,0.0,0
1997-09-02,36.749163090825796,38.64700719410788,36.576631808709244,38.41696548461914,1023700,0.0,0
1997-09-03,38.64700277051212,39.33712781998555,38.64700277051212,39.16459655761719,788200,0.0,0
1997-09-04,38.64700906926935,40.83240541544828,38.18692562796853,40.487342834472656,3477000,0.0,0
1997-09-05,40.48733897107713,40.717380669776425,40.257297272377826,40.54484939575195,907200,0.0,0
1997-09-08,40.48733921595982,40.48733921595982,40.1422766658238,40.25729751586914,728300,0.0,0
1997-09-09,40.257294323979586,40.257294323979586,39.33712759657434,39.4521484375,669300,0.0,0
1997-09-10,39.22209178749885,39.39462298304503,38.81951899789109,38.934539794921875,329500,0.0,0
1997-09-11,38.81953847622443,38.87704890359662,38.359455057246954,38.41696548461914,221600,0.0,0
1997-09-12,38.405437795965526,38.463017162975966,38.17512032792375,38.34785842895508,85400,0.05,0
1997-09-15,38.57817788557573,38.693336625532666,37.77206670587713,38.002384185791016,228600,0.0,0
1997-09-16,38.232701665704894,38.40543977564031,37.88722544583407,38.002384185791016,348400,0.0,0
1997-09-17,38.00237753224928,38.00237753224928,36.90836969419968,37.13868713378906,285100,0.0,0
1997-09-18,37.13869279430759,37.65690711236769,37.02353405696089,37.484169006347656,459400,0.0,0
1997-09-19,37.081107773891716,37.5417426530705,37.081107773891716,37.13868713378906,137500,0.0,0
