,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
327,20210331,1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",大和ハウス工業,First Section (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS ,2,TOPIX Large70
329,20210331,1928,"Sekisui House,Ltd.",積水ハウス,First Section (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS ,2,TOPIX Large70
546,20210331,2413,"M3,Inc.",エムスリー,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
591,20210331,2502,"Asahi Group Holdings,Ltd.",アサヒグループホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
592,20210331,2503,"Kirin Holdings Company,Limited",キリンホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
743,20210331,2802,"Ajinomoto Co.,Inc.",味の素,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
781,20210331,2914,JAPAN TOBACCO INC.,日本たばこ産業,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
1023,20210331,3382,"Seven & I Holdings Co.,Ltd.",セブン＆アイ・ホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,1,TOPIX Core30
1036,20210331,3402,"TORAY INDUSTRIES,INC.",東レ,First Section (Domestic),3100,Textiles and Apparels,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1038,20210331,3407,ASAHI KASEI CORPORATION,旭化成,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1438,20210331,4063,"Shin-Etsu Chemical Co.,Ltd.",信越化学工業,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,1,TOPIX Core30
1487,20210331,4188,Mitsubishi Chemical Holdings Corporation,三菱ケミカルホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1631,20210331,4452,Kao Corporation,花王,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,1,TOPIX Core30
1661,20210331,4502,Takeda Pharmaceutical Company Limited,武田薬品工業,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1662,20210331,4503,Astellas Pharma Inc.,アステラス製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1664,20210331,4507,"Shionogi & Co.,Ltd.",塩野義製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1668,20210331,4519,"CHUGAI PHARMACEUTICAL CO.,LTD.",中外製薬,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1670,20210331,4523,"Eisai Co.,Ltd.",エーザイ,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
