,2020-03-31,2019-03-31,2018-03-31,2017-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2825759000000.0,2645531000000.0,3090512000000.0,2555885000000.0
Minority Interest,677064000000.0,718985000000.0,694120000000.0,668264000000.0
Net Income,2076183000000.0,1882873000000.0,2493983000000.0,1831109000000.0
Selling General Administrative,2973166000000.0,2986695000000.0,3090495000000.0,2868485000000.0
Gross Profit,5407628000000.0,5443896000000.0,5490357000000.0,4862857000000.0
Ebit,2434462000000.0,2457201000000.0,2399862000000.0,1994372000000.0
Operating Income,2434462000000.0,2457201000000.0,2399862000000.0,1994372000000.0
Other Operating Expenses,,,,
Interest Expense,-32217000000.0,-28078000000.0,-27586000000.0,-29353000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,683430000000.0,659944000000.0,504406000000.0,628900000000.0
Total Revenue,29929992000000.0,30225681000000.0,29379510000000.0,27597193000000.0
Total Operating Expenses,27495530000000.0,27768480000000.0,26979648000000.0,25602821000000.0
Cost Of Revenue,24522364000000.0,24781785000000.0,23889153000000.0,22734336000000.0
Total Other Income Expense Net,391297000000.0,188330000000.0,690650000000.0,561513000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2142329000000.0,1985587000000.0,2586106000000.0,1926985000000.0
Net Income Applicable To Common Shares,2058899000000.0,1868085000000.0,2481692000000.0,1821314000000.0
