Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-06-26,0.0,2.891321139606206e-05,2.7708494254559473e-05,2.8612032110686414e-05,46172800,0.0,0.0
1987-06-29,0.0,2.8762621753374236e-05,2.8461442467998588e-05,2.8612032110686414e-05,6297600,0.0,0.0
1987-06-30,0.0,3.056968953479563e-05,2.9063793498598808e-05,2.981674151669722e-05,15328000,0.0,0.0
1987-07-01,0.0,3.0268513946793973e-05,2.951556583866477e-05,3.0117924325168133e-05,5788800,0.0,0.0
1987-07-02,0.0,3.0419097133722176e-05,3.0117917954180374e-05,3.0268507543951273e-05,2870400,0.0,0.0
1987-07-06,0.0,3.222616197447115e-05,3.0419087471229774e-05,3.162380380672403e-05,9600000,0.0,0.0
1987-07-07,0.0,3.222616079899414e-05,3.087085497099906e-05,3.087085497099906e-05,7187200,0.0,0.0
1987-07-08,0.0,3.1172036762975895e-05,3.0419089015077927e-05,3.0720268114237115e-05,1392000,0.0,0.0
1987-07-09,0.0,3.312969566420782e-05,3.0720263252265436e-05,3.222615850972943e-05,7923200,0.0,0.0
1987-07-10,0.0,3.373205301261717e-05,3.192497874408411e-05,3.2677926355972886e-05,4115200,0.0,0.0
1987-07-13,0.0,3.2677928064976884e-05,3.2376749004470184e-05,3.2376749004470184e-05,796800,0.0,0.0
1987-07-14,0.0,3.252733830954014e-05,3.1473211605064303e-05,3.1774390663485974e-05,2032000,0.0,0.0
1987-07-15,0.0,3.177439496129427e-05,3.0720268114237115e-05,3.0720268114237115e-05,2009600,0.0,0.0
1987-07-16,0.0,3.102144450744296e-05,3.0419086361667368e-05,3.087085497099906e-05,1497600,0.0,0.0
1987-07-17,0.0,3.0870859437428486e-05,2.9967322088040337e-05,3.0419090762734413e-05,1084800,0.0,0.0
1987-07-20,0.0,3.087087829304177e-05,2.8913212840312292e-05,2.9515571441152133e-05,1344000,0.0,0.0
1987-07-21,0.0,2.9816750741572052e-05,2.906380249052225e-05,2.9515571441152133e-05,5465600,0.0,0.0
1987-07-22,0.0,2.981673330816128e-05,2.936496462167399e-05,2.9666143745998852e-05,2220800,0.0,0.0
1987-07-23,0.0,2.9816739735212752e-05,2.9214381356723607e-05,2.9214381356723607e-05,1318400,0.0,0.0
1987-07-24,0.0,2.9666161091362092e-05,2.906380249052225e-05,2.9515571441152133e-05,2217600,0.0,0.0
1987-07-27,0.0,3.0419090762734413e-05,2.93649638551149e-05,3.0419090762734413e-05,771200,0.0,0.0
1987-07-28,0.0,3.0870868742035e-05,2.981674151669722e-05,2.981674151669722e-05,1510400,0.0,0.0
1987-07-29,0.0,3.0117918924457326e-05,2.876261257285675e-05,2.9214381356723607e-05,2720000,0.0,0.0
1987-07-30,0.0,3.0117924325168133e-05,2.921438659541309e-05,3.0117924325168133e-05,4124800,0.0,0.0
1987-07-31,0.0,3.041910934241189e-05,2.9515571441152133e-05,2.9515571441152133e-05,1155200,0.0,0.0
