Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.06373082805561715,0.0625790657655016,0.06296298652887344,3527500,0.0,0.0
1980-03-18,0.0,0.062195148134132294,0.06142730656872187,0.06181122735142708,285400,0.0,0.0
1980-03-19,0.0,0.06065948271114828,0.05873987823724747,0.05873987823724747,149500,0.0,0.0
1980-03-20,0.0,0.0606595054268837,0.058739900234130275,0.0606595054268837,305800,0.0,0.0
1980-03-21,0.0,0.06411474198102951,0.06104337620162168,0.06411474198102951,190300,0.0,0.0
1980-03-24,0.0,0.06334690236681317,0.06104337796568871,0.061043377965688705,183500,0.0,0.0
1980-03-25,0.0,0.06065946784014263,0.05989162623882294,0.05989162623882294,163100,0.0,0.0
1980-03-26,0.0,0.061427317559719086,0.060659475856921156,0.061427317559719086,33900,0.0,0.0
1980-03-27,0.0,0.06065947866081535,0.057204190838509125,0.05797203257679939,618500,0.0,0.0
1980-03-28,0.0,0.05873987823724747,0.058355957342467304,0.05873987823724747,47500,0.0,0.0
1980-03-31,0.0,0.05950772002680779,0.05797203644768714,0.05873987823724747,768000,0.0,0.0
1980-04-01,0.0,0.05835593069643322,0.057588089257478714,0.057588089257478714,95100,0.0,0.0
1980-04-02,0.0,0.0606595054268837,0.05835597919557959,0.0606595054268837,122300,0.0,0.0
1980-04-03,0.0,0.061427317559719086,0.06104339670832012,0.061427317559719086,203900,0.0,0.0
1980-04-07,0.0,0.06065948271114828,0.05873987823724747,0.05873987823724747,183500,0.0,0.0
1980-04-08,0.0,0.058355920016765594,0.05758807871833308,0.058355920016765594,190300,0.0,0.0
1980-04-09,0.0,0.058355920016765594,0.05758807871833308,0.058355920016765594,149500,0.0,0.0
1980-04-10,0.0,0.06104337796568871,0.058739853564564244,0.061043377965688705,421400,0.0,0.0
1980-04-11,0.0,0.06257906556129456,0.06027554098858024,0.06257906556129456,360200,0.0,0.0
1980-04-14,0.0,0.0633469218167139,0.061427317559719086,0.061427317559719086,1175800,0.0,0.0
1980-04-15,0.0,0.0606595054268837,0.0606595054268837,0.0606595054268837,6700,0.0,0.0
1980-04-16,0.0,0.06104337796568871,0.06027553649864722,0.061043377965688705,183500,0.0,0.0
1980-04-17,0.0,0.06104337796568871,0.06104337796568871,0.061043377965688705,20300,0.0,0.0
1980-04-18,0.0,0.06104337796568871,0.06104337796568871,0.061043377965688705,27100,0.0,0.0
1980-04-21,0.0,0.06104337796568871,0.06027553649864722,0.061043377965688705,135900,0.0,0.0
1980-04-22,0.0,0.061043411446325316,0.059123806725871066,0.060275569558143616,428100,0.0,0.0
1980-04-23,0.0,0.06104337796568871,0.06104337796568871,0.061043377965688705,448500,0.0,0.0
1980-04-24,0.0,0.06065946784014263,0.05989162623882294,0.05989162623882294,278600,0.0,0.0
1980-04-25,0.0,0.06065946784014263,0.05989162623882294,0.05989162623882294,13500,0.0,0.0
1980-04-28,0.0,0.05950770885163773,0.058739867206273194,0.05912378802895546,441700,0.0,0.0
1980-04-29,0.0,0.0606595054268837,0.059891663349782326,0.0606595054268837,54300,0.0,0.0
1980-04-30,0.0,0.06104337796568871,0.06104337796568871,0.061043377965688705,74700,0.0,0.0
1980-05-01,0.0,0.06104337796568871,0.06027553649864722,0.061043377965688705,67900,0.0,0.0
1980-05-02,0.0,0.06104342646543438,0.06027558438833301,0.0606595054268837,217400,0.0,0.0
1980-05-05,0.0,0.06219512224197388,0.06142728099621983,0.06219512224197388,367000,0.0,0.0
1980-05-06,0.0,0.06449868530035019,0.06257908101569347,0.06449868530035019,1243800,0.0,0.0
1980-05-07,0.0,0.06526653468608856,0.06411477197990845,0.06526653468608856,299000,0.0,0.0
1980-05-08,0.0,0.06565043290559486,0.0644986705973544,0.06488259136676788,863100,0.0,0.0
1980-05-09,0.0,0.06449866937188982,0.06257906556129456,0.06257906556129456,346600,0.0,0.0
1980-05-12,0.0,0.06296298652887344,0.06296298652887344,0.06296298652887344,27100,0.0,0.0
1980-05-13,0.0,0.06411475204765835,0.061811227351427085,0.06181122735142708,3228400,0.0,0.0
1980-05-14,0.0,0.06411474198102951,0.06334690053617756,0.06411474198102951,190300,0.0,0.0
1980-05-15,0.0,0.06411474198102951,0.06411474198102951,0.06411474198102951,135900,0.0,0.0
1980-05-16,0.0,0.06526653468608856,0.06334693017578838,0.06526653468608856,2575900,0.0,0.0
1980-05-19,0.0,0.06565044787114423,0.06449868530035019,0.06449868530035019,74700,0.0,0.0
1980-05-20,0.0,0.06565043290559486,0.06488259136676788,0.06488259136676788,54300,0.0,0.0
1980-05-21,0.0,0.06757001578807831,0.06565041253659581,0.06757001578807831,4587800,0.0,0.0
1980-05-22,0.0,0.07793591141776074,0.06757005418993219,0.076784148812294,7360900,0.0,0.0
1980-05-23,0.0,0.08062333424814358,0.07640020591257278,0.0771680474281311,611700,0.0,0.0
1980-05-27,0.0,0.0767841330208979,0.07486452907323837,0.07486452907323837,251400,0.0,0.0
1980-05-28,0.0,0.07332886062611049,0.0706414207816124,0.0706414207816124,3310000,0.0,0.0
1980-05-29,0.0,0.07064142817132849,0.0702575072646141,0.0702575072646141,971900,0.0,0.0
1980-05-30,0.0,0.07179314616467011,0.06948962818122187,0.07140922546386719,686400,0.0,0.0
1980-06-02,0.0,0.07140919646809132,0.07064136159963491,0.07102528214454651,95100,0.0,0.0
1980-06-03,0.0,0.071793177159899,0.0706414207816124,0.0706414207816124,129100,0.0,0.0
1980-06-04,0.0,0.06948964297771454,0.06948964297771454,0.06948964297771454,67900,0.0,0.0
1980-06-05,0.0,0.06987354795669139,0.06795394447809801,0.06833786517381668,645600,0.0,0.0
1980-06-06,0.0,0.0706414207816124,0.06833789558229517,0.0706414207816124,312600,0.0,0.0
1980-06-09,0.0,0.0706414207816124,0.06948965818195378,0.0706414207816124,129100,0.0,0.0
1980-06-10,0.0,0.07179311701300292,0.07064136159963491,0.07102528214454651,339800,0.0,0.0
1980-06-11,0.0,0.07140925629334613,0.06987357904850665,0.0706414207816124,203900,0.0,0.0
1980-06-12,0.0,0.071793177159899,0.0706414207816124,0.0706414207816124,333000,0.0,0.0
1980-06-13,0.0,0.07102528214454651,0.07064136159963491,0.07102528214454651,360200,0.0,0.0
1980-06-16,0.0,0.07140925629334613,0.06948965818195378,0.0706414207816124,319400,0.0,0.0
1980-06-17,0.0,0.07217709720134735,0.07102534083622725,0.07217709720134735,638800,0.0,0.0
1980-06-18,0.0,0.07179314616467011,0.07140922546386719,0.07140922546386719,244600,0.0,0.0
1980-06-19,0.0,0.07294490096802601,0.07064138321507363,0.07179313898086548,897100,0.0,0.0
1980-06-20,0.0,0.07217709720134735,0.07179317633918333,0.07217709720134735,299000,0.0,0.0
1980-06-23,0.0,0.07217705964325231,0.07102530387746048,0.07179313898086548,1169000,0.0,0.0
1980-06-24,0.0,0.07102534907804287,0.06948966545118533,0.0702575072646141,285400,0.0,0.0
1980-06-25,0.0,0.0706414207816124,0.06987357904850665,0.0706414207816124,360200,0.0,0.0
1980-06-26,0.0,0.0706414207816124,0.06948965818195378,0.0706414207816124,910700,0.0,0.0
1980-06-27,0.0,0.06987356376026607,0.06948964297771454,0.06948964297771454,135900,0.0,0.0
1980-06-30,0.06948964297771454,0.06948964297771454,0.06948964297771454,0.06948964297771454,0,0.0,0.0
1980-07-01,0.0,0.0702575072646141,0.06948966545118533,0.0702575072646141,108700,0.0,0.0
1980-07-02,0.0,0.07064139797997462,0.06987355649471283,0.06987355649471283,944700,0.0,0.0
1980-07-03,0.0,0.07524845004081726,0.07102532756734464,0.07524845004081726,2508000,0.0,0.0
1980-07-07,0.0,0.07831983228624964,0.07640022794380509,0.076784148812294,346600,0.0,0.0
1980-07-08,0.0,0.0767841332025785,0.07524845004081726,0.07524845004081726,142700,0.0,0.0
1980-07-09,0.0,0.07678413338241462,0.07448060863437769,0.07563237100839615,924300,0.0,0.0
1980-07-10,0.0,0.07640021241213818,0.07409668766949634,0.07524845004081726,224200,0.0,0.0
1980-07-11,0.0,0.07563233226384389,0.07409664988517761,0.07409664988517761,373800,0.0,0.0
1980-07-14,0.0,0.07640021294355392,0.07486452977111097,0.07640021294355392,271800,0.0,0.0
1980-07-15,0.0,0.07831981672935256,0.07601629197597504,0.07601629197597504,1692400,0.0,0.0
1980-07-16,0.0,0.08062335077530441,0.07601630073754496,0.07985550910234451,401000,0.0,0.0
1980-07-17,0.0,0.08407861716635431,0.0806233305066899,0.0836946964263916,815600,0.0,0.0
1980-07-18,0.0,0.08369471067859652,0.0813911858465576,0.08215902745723724,1583600,0.0,0.0
1980-07-21,0.0,0.0836946964263916,0.08215901346654075,0.0836946964263916,1502000,0.0,0.0
1980-07-22,0.0,0.08369470288707212,0.08177509903907776,0.08177509903907776,1209800,0.0,0.0
1980-07-23,0.0,0.08254293234221859,0.07908764576059402,0.0806233286857605,992300,0.0,0.0
1980-07-24,0.0,0.08100724820103712,0.07870372384786606,0.07870372384786606,421400,0.0,0.0
1980-07-25,0.0,0.0798555014840385,0.07831981828462461,0.07947158068418503,849600,0.0,0.0
1980-07-28,0.0,0.08254291117191315,0.0798554667421378,0.08254291117191315,1801100,0.0,0.0
1980-07-29,0.0,0.08331076025894092,0.08254291892120436,0.08292683959007263,1427300,0.0,0.0
1980-07-30,0.0,0.0836946964263916,0.08254293420650347,0.0836946964263916,2786600,0.0,0.0
1980-07-31,0.0,0.08407861716635431,0.08177509272657804,0.0836946964263916,468900,0.0,0.0
1980-08-01,0.0,0.08561430081523333,0.0836946970999707,0.08484645932912827,1203000,0.0,0.0
1980-08-04,0.0,0.08638213574886322,0.085230373607072,0.08638213574886322,808800,0.0,0.0
1980-08-05,0.0,0.08638214207170915,0.08446253836154938,0.08446253836154938,224200,0.0,0.0
1980-08-06,0.0,0.08407861739397049,0.08177509294795815,0.08407861739397049,618500,0.0,0.0
1980-08-07,0.0,0.08714994632343422,0.08484642285535747,0.08561426401138306,1869100,0.0,0.0
1980-08-08,0.0,0.0867660708577881,0.08523038774728775,0.08523038774728775,502900,0.0,0.0
1980-08-11,0.0,0.08561430081523333,0.08407861784302322,0.08484645932912827,373800,0.0,0.0
1980-08-12,0.0,0.08561426401138306,0.08446250227734468,0.08561426401138306,339800,0.0,0.0
1980-08-13,0.0,0.0848464588759746,0.08369469665296843,0.08407861739397049,299000,0.0,0.0
1980-08-14,0.0,0.08446253836154938,0.08177509316732573,0.08446253836154938,1019500,0.0,0.0
1980-08-15,0.0,0.0852303800721808,0.08407861784302322,0.08484645932912827,319400,0.0,0.0
1980-08-18,0.0,0.08561430081523333,0.0836946970999707,0.08484645932912827,217400,0.0,0.0
1980-08-19,0.0,0.0848464588759746,0.08407861739397049,0.08407861739397049,462100,0.0,0.0
1980-08-20,0.0,0.08561430058764524,0.08407861761951743,0.08446253836154938,197100,0.0,0.0
1980-08-21,0.0,0.08561430081523333,0.08484645932912827,0.08484645932912827,129100,0.0,0.0
1980-08-22,0.0,0.08599822155828585,0.08446253858607575,0.08484645932912827,373800,0.0,0.0
1980-08-25,0.0,0.08676607161760332,0.08484646771266778,0.0867660716176033,373800,0.0,0.0
1980-08-26,0.0,0.08676605646279362,0.0856142943210024,0.08638213574886322,210700,0.0,0.0
1980-08-27,0.0,0.08906958252191544,0.08676605819241387,0.08906958252191544,373800,0.0,0.0
1980-08-28,0.0,0.08830173931851525,0.0856142943210024,0.08638213574886322,142700,0.0,0.0
1980-08-29,0.0,0.08791782663257589,0.08714998513460159,0.08714998513460159,61100,0.0,0.0
