,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.5770274914916014,0.6458003004363388,0.5436981406443838,0.0,0.5028387882272445,0.9117615166325496,0.0,0.0,0.5359401320093823,0.0,0.7022906252236929,0.5105300218866138,0.5900315955273343,0.5195730637418281,0.0,0.5791492444596256,0.0,0.5037857002384308,0.5860685090220402,0.6323719197809538,0.9117615166325496,8035.T,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,8035.T,0.0,0.0
2017-01-05,0.5663960749533261,0.8253446597587097,0.5781615206704424,0.0,0.502368299374834,0.7269653204064931,0.0,0.0,0.5130204506331384,0.0,0.6727534928229603,0.5100475517940789,0.5911677830384243,0.5153488117474639,0.0,0.0,0.0,0.5041044020268318,0.5334570682946992,0.5548083199276053,0.8253446597587097,6098.T,9000422.0,10014018.627807617,10000000.828065362,4063.T,0.0,0.0,8035.T,0.0,0.0,6098.T,675.0,1480.8575230597967
2017-01-06,0.5702362343135169,0.8322743435281705,0.5677904551501425,0.0,0.5032471603795016,0.0,0.0,0.0,0.0,0.0,0.6713790318551498,0.5102736106001258,0.5973965007069124,0.516795070963084,0.0,0.6445439048279376,0.0,0.5043010740863404,0.5386957679039994,0.5538115423218682,0.8322743435281705,6098.T,8001606.0,10035451.134643555,10000001.636226458,8035.T,0.0,0.0,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315
2017-01-10,0.5672271840971633,0.5670936688682924,0.5228591311188503,0.0,0.5027591364841932,0.6695309576490462,0.0,0.0,0.0,0.0,0.6806436267916304,0.5097929018124979,0.5718092901609372,0.5157527496385818,0.0,0.6347758821512978,0.0,0.5036567796804765,0.5321777570517632,0.5503545637114962,0.6806436267916304,4519.T,7002513.0,9998995.254394531,10000002.492994409,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315,4519.T,902.0,1107.6428567272192
2017-01-11,0.5681697978810593,0.7811016179646049,0.5080386865659758,0.0,0.502160715058186,0.0,0.0,0.0,0.0,0.0,0.6784688140203303,0.5099573267905945,0.5711089581496173,0.5115530976112574,0.0,0.5890501172287248,0.0,0.5027513184323585,0.5493931232822885,0.5444543717151437,0.7811016179646049,6098.T,6998493.381,10015617.926166017,9995578.687024659,6098.T,668.0,1495.2347427561315,4519.T,902.0,1107.6428567272192,6098.T,674.0,1482.4549571151492
2017-01-12,0.5662070016515653,0.5706222984899839,0.0,0.0,0.501838756664692,0.7644685158867947,0.0,0.0,0.5035321974069512,0.0,0.6884403653665463,0.5080601599415545,0.5661872042982874,0.513874529183351,0.0,0.5149579799153261,0.0,0.5041099650476752,0.5526251645762722,0.5408931753283248,0.7644685158867947,8035.T,7014822.2435,10012610.752044922,10009187.837340992,4519.T,902.0,1107.6428567272192,6098.T,674.0,1482.4549571151492,8035.T,103.0,9670.845592013888
2017-01-13,0.5667890041117224,0.7420565169168988,0.0,0.0,0.5020622704775192,0.6539301010832049,0.0,0.0,0.0,0.0,0.6727455007292588,0.5077444141301806,0.5865014563865345,0.5164343600595325,0.0,0.5692779546774255,0.0,0.5048054698754713,0.5181154420065928,0.5380739435695877,0.7420565169168988,6098.T,6981295.004,10011268.278414063,9975345.210555462,6098.T,674.0,1482.4549571151492,8035.T,103.0,9670.845592013888,6098.T,654.0,1527.1842041015627
2017-01-16,0.0,0.0,0.0,0.0,0.5008209404374312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5026504404790552,0.0,0.0,0.0,0.521575177586246,0.0,0.0,0.521575177586246,7974.T,7009235.7275,10018964.100302733,9999833.02679606,8035.T,103.0,9670.845592013888,6098.T,654.0,1527.1842041015627,7974.T,48.0,20744.202788254308
2017-01-17,0.5556423854532038,0.6945171399493479,0.0,0.0,0.5010393582891056,0.0,0.0,0.0,0.0,0.0,0.6818467637394773,0.5067832225293107,0.5663438965067958,0.5098207054608125,0.0,0.6070348545705135,0.5013700635014418,0.503447366681704,0.5443518743440829,0.5167501074703124,0.6945171399493479,6098.T,7006435.868,10025619.737140626,9999657.161388762,6098.T,654.0,1527.1842041015627,7974.T,48.0,20744.202788254308,6098.T,636.0,1570.3161793555578
2017-01-18,0.5510792156751996,0.5854703716230364,0.0,0.0,0.5010410113342733,0.0,0.0,0.0,0.5075444867832605,0.0,0.6973599332038636,0.5069793419700882,0.5938271500571504,0.5151196704345232,0.0,0.6228315285897121,0.5029761442817208,0.5029272576233619,0.538577395530669,0.5200290091960862,0.6973599332038636,4519.T,7022292.9135,10018517.989916015,10015984.150708996,7974.T,48.0,20744.202788254308,6098.T,636.0,1570.3161793555578,4519.T,930.0,1074.460659465219
2017-01-19,0.5595520153226411,0.5633209797555305,0.0,0.0,0.5018265961605469,0.5798738962017805,0.0,0.0,0.0,0.0,0.6961117548035911,0.5077202228345552,0.5695274847579171,0.5142916877981882,0.0,0.5438418395969234,0.5032113516308676,0.5028584562574906,0.5441359248525799,0.6080981349447278,0.6961117548035911,4519.T,7012652.967999999,10037991.74876172,10009870.998465193,6098.T,636.0,1570.3161793555578,4519.T,930.0,1074.460659465219,4519.T,930.0,1074.4607818197903
2017-01-20,0.5599547405781394,0.6727675874685056,0.0,0.0,0.5019213168418865,0.0,0.0,0.0,0.0,0.0,0.6906061151607908,0.5077295487541263,0.563557555683355,0.5105361726602891,0.0,0.7373391004392423,0.5030811770777871,0.5026267677680297,0.5450637170717418,0.5494806421377327,0.7373391004392423,6902.T,7028123.830499999,10032828.251398437,10023576.283763982,4519.T,930.0,1074.460659465219,4519.T,930.0,1074.4607818197903,6902.T,224.0,4450.6942538791245
