,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.6775200808829743,0.7444106861660781,0.0,0.0,0.7593559593971332,0.8395701941401505,0.0,0.0,0.5485734652119498,0.0,0.6173950572910649,0.7187014203790002,0.6433232976247321,0.7089262923239937,0.5966686696485964,0.6594834774688829,0.0,0.0,0.5036573639731367,0.77735995355423,0.8395701941401505,8035.T,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,8035.T,0.0,0.0
2017-01-05,0.6582752770589714,0.9638629456385222,0.7677236606585015,0.0,0.8031361776662507,0.7587232395578074,0.0,0.5006913037113011,0.5267626696529316,0.0,0.6005464729782027,0.7833906908338005,0.638914422486465,0.6587703579488724,0.5777950244560378,0.6577034422952471,0.0,0.5046900440536691,0.5057312219699115,0.7165899514732554,0.9638629456385222,6098.T,9000422.0,10014018.627807617,10000000.828065362,4063.T,0.0,0.0,8035.T,0.0,0.0,6098.T,675.0,1480.8575230597967
2017-01-06,0.6754579549354015,0.9648930183395936,0.5535773384147681,0.0,0.9220772317752072,0.5604784517428324,0.0,0.0,0.5027507080247191,0.0,0.5984225356195575,0.7426721114585035,0.6458922422857399,0.6533256274859677,0.5406896431420126,0.978303180301676,0.0,0.5032717730040396,0.5321918270244126,0.6305263134381772,0.978303180301676,6902.T,8001741.0,10026170.170776367,10000001.258065408,8035.T,0.0,0.0,6098.T,675.0,1480.8575230597967,6902.T,221.0,4518.920497737764
2017-01-10,0.6224255764625297,0.0,0.0,0.0,0.8938963995297933,0.5150203456663968,0.0,0.0,0.0,0.0,0.0,0.0,0.6200221614874827,0.6222400207394618,0.5493541285290587,0.9388738679220636,0.0,0.5003080024418001,0.5061775744594894,0.5835362378946908,0.9388738679220636,6902.T,7004627.0,9984148.631835938,10000002.224858794,6098.T,675.0,1480.8575230597967,6902.T,221.0,4518.920497737764,6902.T,221.0,4511.832428929351
2017-01-11,0.6013626064916254,0.6803534643357714,0.0,0.0,0.5117720004344556,0.0,0.0,0.0,0.0,0.0,0.0,0.6587612443217039,0.5955273816003385,0.561876916648584,0.5175041739280857,0.6650666606857386,0.0,0.0,0.5319690410539254,0.5076727699676218,0.6803534643357714,6098.T,7000607.181,9995965.89608789,9995578.218889043,6902.T,221.0,4518.920497737764,6902.T,221.0,4511.832428929351,6098.T,674.0,1482.4549571151492
2017-01-12,0.5823451882623863,0.0,0.0,0.0,0.6833296483924785,0.0,0.0,0.0,0.0,0.0,0.0,0.7229407833018472,0.5098540940207757,0.5449156823658018,0.0,0.0,0.5032719676333517,0.0,0.5585510115727188,0.5034070279194398,0.7229407833018472,4661.T,6991360.9995,9988999.412097655,9983076.254523817,6902.T,221.0,4511.832428929351,6098.T,674.0,1482.4549571151492,4661.T,152.0,6548.852941676449
2017-01-13,0.5826115195171065,0.6115927109857633,0.0,0.0,0.6238398764728539,0.0,0.0,0.0,0.5169184190364524,0.0,0.0,0.0,0.0,0.5672158869748812,0.0,0.0,0.0,0.5049314743409721,0.0,0.0,0.6238398764728539,7203.T,6973098.668,9989658.122833984,9967466.558530254,6098.T,674.0,1482.4549571151492,4661.T,152.0,6548.852941676449,7203.T,906.0,1103.4962497790557
2017-01-16,0.0,0.0,0.6519970121502963,0.0,0.0,0.6236088339008485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225675127421571,0.0,0.0,0.6519970121502963,6861.T,7006574.1915,9966387.674654298,9991954.236211825,4661.T,152.0,6548.852941676449,7203.T,906.0,1103.4962497790557,6861.T,48.0,20628.89156827458
2017-01-17,0.5498270398095699,0.0,0.0,0.0,0.6105056297630438,0.0,0.0,0.0,0.0,0.0,0.0,0.5056093246908684,0.0,0.0,0.0,0.0,0.5066382581739854,0.5019941067192524,0.55110757643536,0.0,0.6105056297630438,7203.T,6979254.944999999,9924394.942192383,9968615.773217123,7203.T,906.0,1103.4962497790557,6861.T,48.0,20628.89156827458,7203.T,909.0,1099.4570194060723
2017-01-18,0.0,0.0,0.0,0.0,0.606708428598567,0.0,0.0,0.0,0.5054262364511936,0.0,0.0,0.8224552332869682,0.0,0.5306316397195278,0.0,0.0,0.5087092863341145,0.5032805007587036,0.5442802508983537,0.0,0.8224552332869682,4661.T,6946558.2305,9885077.501251953,9934149.34289191,6861.T,48.0,20628.89156827458,7203.T,909.0,1099.4570194060723,4661.T,158.0,6316.442319459553
2017-01-19,0.0,0.0,0.0,0.0,0.6670472676957088,0.6127057272209062,0.0,0.0,0.5085216265920983,0.0,0.0,0.7330093136619188,0.0,0.5710724789993953,0.0,0.0,0.5086987284951008,0.5095522474450435,0.5551503308079583,0.6887635308702161,0.7330093136619188,4661.T,6921759.2255,9924611.163854491,9919079.808891792,7203.T,909.0,1099.4570194060723,4661.T,158.0,6316.442319459553,4661.T,160.0,6249.476664231645
2017-01-20,0.5123695403932481,0.0,0.0,0.0,0.7341067705985562,0.5409739065894444,0.0,0.0,0.0,0.0,0.0,0.861065285731629,0.5188908018088821,0.5150232647018073,0.0,0.7603166780931923,0.5091519116528659,0.5106833831455412,0.5275038894940592,0.5639772402002896,0.861065285731629,4661.T,6922990.9799999995,9930296.872089844,9919425.890528249,4661.T,158.0,6316.442319459553,4661.T,160.0,6249.476664231645,4661.T,159.0,6280.00476589042
2017-01-23,0.0,0.6977366141220589,0.0,0.0,0.0,0.0,0.0,0.0,0.5173871403199354,0.0,0.0,0.7510940342651946,0.0,0.0,0.0,0.0,0.5091580586075495,0.5153741078773343,0.557130368683995,0.0,0.7510940342651946,4661.T,6911250.738499999,9878259.289281249,9908521.770575304,4661.T,160.0,6249.476664231645,4661.T,159.0,6280.00476589042,4661.T,159.0,6281.974893218012
2017-01-24,0.0,0.6573397660698315,0.0,0.0,0.5821376855117908,0.5354716608437661,0.0,0.0,0.0,0.0,0.0,0.0,0.5608199955664539,0.5018829971322659,0.0,0.837053965668812,0.5091758924453923,0.5149456894488772,0.5635557042583849,0.5459632796781705,0.837053965668812,6902.T,6896293.861,9860587.426429687,9893464.269237,4661.T,159.0,6280.00476589042,4661.T,159.0,6281.974893218012,6902.T,230.0,4347.024532342433
2017-01-25,0.0,0.5862396396754257,0.0,0.0,0.7261249025170733,0.6085537378352553,0.0,0.0,0.0,0.0,0.0,0.5672033593693885,0.5778613299740428,0.0,0.0,0.8649891801701336,0.5090601347822153,0.5177602073366498,0.5411963301043394,0.5441931037526633,0.8649891801701336,6902.T,6888716.3505,9869189.16348828,9882990.705164364,4661.T,159.0,6281.974893218012,6902.T,230.0,4347.024532342433,6902.T,227.0,4386.011912792691
2017-01-26,0.0,0.0,0.0,0.0,0.5956754517251598,0.5682005646237005,0.0,0.0,0.5185464675658652,0.0,0.0,0.0,0.5282618916407804,0.0,0.0,0.8240718812974681,0.5046902031494072,0.5171116818589185,0.518178510742514,0.6701505332925355,0.8240718812974681,6902.T,6875867.7315,9897536.435601562,9870957.208775587,6902.T,230.0,4347.024532342433,6902.T,227.0,4386.011912792691,6902.T,226.0,4423.2262417384345
2017-01-27,0.0,0.0,0.0,0.0,0.5770383372013256,0.5425087853900294,0.0,0.0,0.5226898046298726,0.0,0.0,0.6082513471774574,0.5285158625477061,0.0,0.0,0.937131516719246,0.0,0.5162916118472477,0.5270286609912943,0.6179278469897752,0.937131516719246,6902.T,6896972.552999999,9892096.583273437,9890591.233808687,6902.T,227.0,4386.011912792691,6902.T,226.0,4423.2262417384345,6902.T,224.0,4456.8966338029495
2017-01-30,0.0,0.6152209191522738,0.0,0.0,0.5441379665879879,0.0,0.0,0.0,0.0,0.0,0.0,0.6760468305070185,0.5166706896477551,0.0,0.0,0.7176924698663986,0.0,0.5173057715466634,0.0,0.6191183970377196,0.7176924698663986,6902.T,6891474.183499999,9882999.006742187,9889316.648439847,6902.T,226.0,4423.2262417384345,6902.T,224.0,4456.8966338029495,6902.T,227.0,4404.618891344057
2017-01-31,0.0,0.6865953824122072,0.0,0.0,0.5331896544957986,0.0,0.0,0.0,0.0,0.0,0.0,0.58465267629769,0.5164981212120411,0.0,0.0,0.8129446355519359,0.0,0.5173878956015536,0.5330916576783025,0.5963125817225045,0.8129446355519359,6902.T,6873015.223999999,9825979.97009375,9867489.038539192,6902.T,224.0,4456.8966338029495,6902.T,227.0,4404.618891344057,6902.T,229.0,4350.569782673498
2017-02-01,0.0,0.0,0.0,0.0,0.510147311815378,0.0,0.0,0.0,0.0,0.0,0.0,0.5686925495083845,0.5339820309977079,0.0,0.0,0.7448200223102421,0.0,0.516768057829061,0.5059204760918897,0.5715341900163782,0.7448200223102421,6902.T,6833251.613,9856313.8708125,9828639.770689225,6902.T,227.0,4404.618891344057,6902.T,229.0,4350.569782673498,6902.T,232.0,4307.151677249541
2017-02-02,0.0,0.538981756168071,0.0,0.0,0.0,0.0,0.0,0.0,0.5368860422458513,0.0,0.0,0.5070419138196728,0.5298980828923455,0.0,0.0,0.6285985733594214,0.5025049708938968,0.5168118127572411,0.5359976682202029,0.5802250997694475,0.6285985733594214,6902.T,6827773.1535,9859980.3019375,9819541.027953748,6902.T,229.0,4350.569782673498,6902.T,232.0,4307.151677249541,6902.T,227.0,4388.6705070468
2017-02-03,0.0,0.6052104547975564,0.0,0.0,0.0,0.0,0.0,0.0,0.5444418779182785,0.0,0.0,0.6813648633400029,0.5330243862435804,0.0,0.0,0.9024094420573768,0.5012355968809981,0.5156672203272891,0.5389793963278876,0.5413123444521778,0.9024094420573768,6902.T,6844445.4885,9842511.673558593,9838277.575425645,6902.T,232.0,4307.151677249541,6902.T,227.0,4388.6705070468,6902.T,224.0,4456.895949572
2017-02-06,0.0,0.7999846861839669,0.0,0.0,0.0,0.5515957187166696,0.0,0.0,0.6014346087863162,0.0,0.0,0.7665103871366404,0.5891016185785902,0.5115970359020745,0.0,0.7204549257007169,0.5005951801357327,0.518984391944841,0.5055663455549496,0.5514516638175274,0.7999846861839669,6098.T,6871061.112,9872566.630920898,9864470.091828745,6902.T,227.0,4388.6705070468,6902.T,224.0,4456.895949572,6098.T,613.0,1629.4226460440366
2017-02-07,0.0,0.7175536293519823,0.0,0.0,0.5150342931767489,0.5862981400820079,0.0,0.0,0.5446174814124064,0.0,0.5048386711149511,0.7358809678382697,0.5581992472560281,0.0,0.0,0.9190094250290072,0.5006386317259311,0.5190166468015872,0.5082781250317526,0.5608582040276391,0.9190094250290072,6902.T,6856909.478,9811252.160983399,9851790.905167479,6902.T,224.0,4456.895949572,6098.T,613.0,1629.4226460440366,6902.T,229.0,4356.771408027757
2017-02-08,0.0,0.8368768204733315,0.0,0.0,0.0,0.5823767790415881,0.0,0.0,0.5614523830928299,0.0,0.5090649217641755,0.8195046315730427,0.5982783691857484,0.5223825461799009,0.0,0.8040851791070903,0.5005986546969369,0.5195665264556081,0.5171953812858497,0.5626395775368841,0.8368768204733315,6098.T,6829789.3675,9835099.784370117,9824785.204029791,6098.T,613.0,1629.4226460440366,6902.T,229.0,4356.771408027757,6098.T,608.0,1642.2024705040155
2017-02-09,0.0,0.8119304719410785,0.0,0.0,0.0,0.5472286528427422,0.0,0.0,0.5003340946628521,0.0,0.5186147013786323,0.7443328881591742,0.5145608277823461,0.0,0.0,0.6577220871139751,0.0,0.5172996328049856,0.5197477478572313,0.0,0.8119304719410785,6098.T,6829181.251499999,9806076.339146484,9825135.52435752,6902.T,229.0,4356.771408027757,6098.T,608.0,1642.2024705040155,6098.T,610.0,1639.0074071356094
2017-02-10,0.0,0.7959312498064068,0.0,0.0,0.5684861153740232,0.5682170007341636,0.0,0.0,0.5644235686362038,0.0,0.0,0.8435975369800647,0.5160442935358543,0.5028267387510346,0.0,0.6512982593256926,0.0,0.5186780492241527,0.5224923829940721,0.6861799146424731,0.8435975369800647,4661.T,6834712.85,9861036.469628906,9831555.224665713,6098.T,608.0,1642.2024705040155,6098.T,610.0,1639.0074071356094,4661.T,164.0,6088.955818576528
2017-02-13,0.0,0.6640827219738074,0.0,0.0,0.5268677042792201,0.5663934569398305,0.0,0.5206482987124407,0.5006399538672766,0.0,0.0,0.6976726129454695,0.5358139649614069,0.0,0.0,0.6602356212991931,0.0,0.5172366137142476,0.0,0.5591963119703829,0.6976726129454695,4661.T,6840400.0175,9873337.571210938,9837655.615203138,6098.T,610.0,1639.0074071356094,4661.T,164.0,6088.955818576528,4661.T,161.0,6204.1759323221495
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.611659088087042,0.0,0.5630765652665214,0.551449675749803,0.0,0.0,0.6924765537549578,0.5712722164234875,0.0,0.0,0.5251578016407386,0.0,0.5167134705120314,0.0,0.6130809966377778,0.6924765537549578,4661.T,6853752.1945,9833165.21451953,9847663.124012727,4661.T,164.0,6088.955818576528,4661.T,161.0,6204.1759323221495,4661.T,160.0,6227.811563514447
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.6455333858126792,0.0,0.5078653266246533,0.0,0.0,0.0,0.7250392307188688,0.5377929842802686,0.0,0.0,0.0,0.0,0.5172288122591312,0.0,0.6320828781094455,0.7250392307188688,4661.T,6873003.9445,9844423.250164062,9862569.982102778,4661.T,161.0,6204.1759323221495,4661.T,160.0,6227.811563514447,4661.T,160.0,6214.024139603757
