,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.5581807197763871,0.7306733064887591,0.6399873656361892,0.0,0.5016128194920606,0.8051820975179435,0.0,0.0,0.0,0.0,0.7669472048846759,0.5376837393940339,0.6873911936454996,0.5116971653826626,0.0,0.5851633603277177,0.0,0.5040591649690712,0.5287712266926848,0.8847411204559692,0.8847411204559692,^N225,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,^N225,0.0,0.0
2017-01-05,0.5396518955682406,0.8436487895364031,0.6283693057100987,0.0,0.500644775508861,0.7658617244314736,0.0,0.0,0.5638017128227516,0.0,0.7093377539044788,0.5276829728840972,0.7240740390926965,0.5112584980077737,0.0,0.0,0.0,0.5041500030234729,0.0,0.6728818081110721,0.8436487895364031,6098.T,9000422.0,10014018.627807617,10000000.828065362,4063.T,0.0,0.0,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967
2017-01-06,0.5563976904341426,0.8482929263462178,0.6611666751006446,0.0,0.5022158512728395,0.7036096245229694,0.0,0.0,0.5197808632509129,0.0,0.6944792113438445,0.5312841464659012,0.7488277806705395,0.5111394220382952,0.0,0.7024138080102099,0.0,0.5041731674596304,0.0,0.0,0.8482929263462178,6098.T,8001606.0,10035451.134643555,10000001.636226458,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315
2017-01-10,0.5513023484528982,0.6129201701228726,0.5927587489512218,0.0,0.5015015782349473,0.7099863066282063,0.0,0.0,0.5152763785531822,0.0,0.7075950023718671,0.5225230699719765,0.6996882466799161,0.5106199540763265,0.0,0.6723160933597204,0.0,0.5037651503331185,0.0,0.0,0.7099863066282063,8035.T,7009745.0,10009550.643554688,10000001.71861761,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315,8035.T,104.0,9537.125792222612
2017-01-11,0.5504202179450768,0.7843956548188689,0.6285680189589661,0.0,0.5003592558784932,0.6485169132557873,0.0,0.0,0.6358410421097779,0.0,0.6691879675778399,0.5262507993655393,0.7046189952824999,0.5090045968640428,0.0,0.6685077323202127,0.5533687834754358,0.5028149137354254,0.0,0.5678535749235986,0.7843956548188689,6098.T,7005725.381,10021738.873919923,9995577.912647858,6098.T,668.0,1495.2347427561315,8035.T,104.0,9537.125792222612,6098.T,674.0,1482.4549571151492
2017-01-12,0.5433602594675323,0.5854216183156645,0.5635014571253237,0.0,0.5003517008759776,0.7018631553356841,0.0,0.0,0.6164403300884301,0.0,0.7318722769522161,0.5316882804489445,0.6769992933904434,0.5103592416547178,0.0,0.5291869788008857,0.5771259520522922,0.5035890869811596,0.0,0.6758493528256257,0.7318722769522161,4519.T,7018764.2435,10039132.671478515,10009187.42751725,8035.T,104.0,9537.125792222612,6098.T,674.0,1482.4549571151492,4519.T,914.0,1093.4217292456099
2017-01-13,0.545440035163212,0.7272398963627565,0.6010453481608999,0.0,0.5003275593779931,0.6958852370870977,0.0,0.0,0.0,0.0,0.6330933249695433,0.5251934322182356,0.7170840369627505,0.511306632766848,0.0,0.5409517850374477,0.0,0.5041257133617066,0.0,0.636011027076198,0.7272398963627565,6098.T,7018883.922499999,10043483.644912109,10016224.49360852,6098.T,674.0,1482.4549571151492,4519.T,914.0,1093.4217292456099,6098.T,654.0,1527.1842041015627
2017-01-16,0.0,0.0,0.0,0.0,0.5001257105472366,0.523833526489324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067085421910343,0.0,0.0,0.0,0.511924115464041,0.0,0.0,0.523833526489324,8035.T,7043360.646,10044101.940433593,10040712.131153535,4519.T,914.0,1093.4217292456099,6098.T,654.0,1527.1842041015627,8035.T,102.0,9795.936815104167
2017-01-17,0.5149534281939002,0.7277307824500457,0.556177131852444,0.0,0.0,0.6682806376770551,0.0,0.0,0.6069675579490873,0.0,0.6473187993968721,0.5224241118679411,0.6859212478916776,0.5088040768101068,0.0,0.726093213236111,0.5720787803343897,0.5031388362543238,0.0,0.5915253456502026,0.7277307824500457,6098.T,7038531.012,10020400.576453125,10035216.126693182,6098.T,654.0,1527.1842041015627,8035.T,102.0,9795.936815104167,6098.T,636.0,1570.3161793555578
2017-01-18,0.51070517672423,0.6365278872498403,0.5728549136242944,0.0,0.5000184263186489,0.6906617344053075,0.0,0.0,0.5916098170199857,0.0,0.7315096838310823,0.5358032313682538,0.7137320587338473,0.5111370129709413,0.0,0.6924123516117576,0.6184998495956315,0.5039643299263751,0.0,0.5704363761252457,0.7315096838310823,4519.T,7054388.0575,10023266.575322267,10051543.116013413,8035.T,102.0,9795.936815104167,6098.T,636.0,1570.3161793555578,4519.T,930.0,1074.460659465219
