,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714918703082916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714918703082916,4661.T,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,4661.T,0.0,0.0
2017-01-05,0.0,0.8869340047258724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9320292250229192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9320292250229192,4661.T,9001032.0,10013953.389648438,10000000.886601925,4063.T,0.0,0.0,4661.T,0.0,0.0,4661.T,154.0,6486.8109519605505
2017-01-06,0.0,0.8957784863461853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846112035709296,0.0,0.0,0.0,0.8189076580454518,0.0,0.0,0.0,0.0,0.8957784863461853,6098.T,8002216.0,10038892.229980469,10000001.69476302,4661.T,0.0,0.0,4661.T,154.0,6486.8109519605505,6098.T,668.0,1495.2347427561315
2017-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,7004336.0,10001728.010742188,10000002.429590672,4661.T,154.0,6486.8109519605505,6098.T,668.0,1495.2347427561315,4063.T,114.0,8753.339779189937
2017-01-11,0.0,0.8234419225956073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9336786591826062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9336786591826062,4661.T,8011988.2625,10014117.416308593,10008685.805488748,6098.T,668.0,1495.2347427561315,4063.T,114.0,8753.339779189937,4661.T,0.0,0.0
2017-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350879962821684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350879962821684,4661.T,8028989.125,10007494.193359375,10022295.506962473,4063.T,114.0,8753.339779189937,4661.T,0.0,0.0,4661.T,152.0,6548.852941676449
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,8023494.217,10004933.7091875,10018175.06744375,4661.T,0.0,0.0,4661.T,152.0,6548.852941676449,4063.T,114.0,8765.396520253775
2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543465603966349,0.0,0.0,0.8543465603966349,7974.T,8023494.217,9997316.26778125,10018175.06744375,4661.T,152.0,6548.852941676449,4063.T,114.0,8765.396520253775,7974.T,0.0,0.0
2017-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,7996115.170500001,9971362.889250001,9994837.260191426,4063.T,114.0,8765.396520253775,7974.T,0.0,0.0,4063.T,114.0,8767.253389320129
2017-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969941457777266,0.0,0.0,0.0,0.0,0.0,0.8591701367175343,0.0,0.0,0.969941457777266,4661.T,8990401.353,10002557.144015625,9989868.239382494,7974.T,0.0,0.0,4063.T,114.0,8767.253389320129,4661.T,0.0,0.0
2017-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8191094163012022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8191094163012022,4661.T,7990485.353,10011833.306125,9989868.505659558,4063.T,114.0,8767.253389320129,4661.T,0.0,0.0,4661.T,160.0,6249.476664231645
2017-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8385521041402142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8385521041402142,4661.T,8001183.953,10012359.172238281,9999620.97705364,4661.T,0.0,0.0,4661.T,160.0,6249.476664231645,4661.T,159.0,6280.00476589042
2017-01-23,0.0,0.8265875550560952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563627652562094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563627652562094,4661.T,7002349.953,9969358.50378125,9999620.985075302,4661.T,160.0,6249.476664231645,4661.T,159.0,6280.00476589042,4661.T,159.0,6281.974893218012
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,6989174.2754999995,9963255.126085937,9984563.879201435,4661.T,159.0,6280.00476589042,4661.T,159.0,6281.974893218012,4063.T,112.0,8911.02533842138
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8705462770666732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8705462770666732,4661.T,7977220.965,9981254.630527344,9974089.810924858,4661.T,159.0,6281.974893218012,4063.T,112.0,8911.02533842138,4661.T,0.0,0.0
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9158377869254994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9158377869254994,4661.T,7965523.546,10015163.124125,9962056.493669497,4063.T,112.0,8911.02533842138,4661.T,0.0,0.0,4661.T,160.0,6240.613186039386
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926604775000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926604775000042,4661.T,8003474.805,9993000.502265625,9997170.055736857,4661.T,0.0,0.0,4661.T,160.0,6240.613186039386,4661.T,158.0,6298.716082092122
2017-01-30,0.0,0.8677525438428287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626463323104137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8677525438428287,6098.T,7004408.805,10009956.638862304,9997170.163972482,4661.T,160.0,6240.613186039386,4661.T,158.0,6298.716082092122,6098.T,633.0,1578.3034885238935
2017-01-31,0.0,0.90222779395573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8778400266764259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90222779395573,6098.T,6984603.46,9950595.033242188,9978046.136250433,4661.T,158.0,6298.716082092122,6098.T,633.0,1578.3034885238935,6098.T,635.0,1573.5109087311057
2017-02-01,0.0,0.8178373189914985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9568824697478088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9568824697478088,4661.T,6936969.9629999995,10019920.275011718,9934043.49597989,6098.T,633.0,1578.3034885238935,6098.T,635.0,1573.5109087311057,4661.T,165.0,6053.503016363715
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8818395598855833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8818395598855833,4661.T,6979241.382999999,9992650.91437207,9972798.554436399,6098.T,635.0,1573.5109087311057,4661.T,165.0,6053.503016363715,4661.T,163.0,6107.667157620458
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397729280983376,0.0,0.0,0.0,0.8666673204655054,0.0,0.0,0.0,0.0,0.9397729280983376,4661.T,7008678.9399999995,10004929.871640624,9998576.883973476,4661.T,165.0,6053.503016363715,4661.T,163.0,6107.667157620458,4661.T,164.0,6070.245119398347
2017-02-06,0.0,0.9084349615439532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9449124406588568,0.0,0.0,0.0,0.0,0.0,0.8230350407427995,0.0,0.0,0.9449124406588568,4661.T,7015382.098499999,9988354.456898436,10006335.811898336,4661.T,163.0,6107.667157620458,4661.T,164.0,6070.245119398347,4661.T,163.0,6134.2562400299
2017-02-07,0.0,0.8177756119927059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630960176382941,0.0,0.0,0.0,0.9177179998030254,0.0,0.0,0.0,0.0,0.9177179998030254,6902.T,7006001.2809999995,9974018.28148828,9999105.900144558,4661.T,164.0,6070.245119398347,4661.T,163.0,6134.2562400299,6902.T,229.0,4356.771408027757
2017-02-08,0.0,0.9197613144202444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513732072983164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513732072983164,4661.T,7000530.4684999995,9973086.009027343,9992988.980199046,4661.T,163.0,6134.2562400299,6902.T,229.0,4356.771408027757,4661.T,164.0,6066.3054398525355
2017-02-09,0.0,0.853146172973285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519437301531944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519437301531944,4661.T,6983034.976,9953608.730394531,9972325.461999482,6902.T,229.0,4356.771408027757,4661.T,164.0,6066.3054398525355,4661.T,165.0,6040.701463183689
2017-02-10,0.0,0.8948583561010094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746693465906702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746693465906702,4661.T,6988566.774499999,10014697.0635625,9978745.362307675,4661.T,164.0,6066.3054398525355,4661.T,165.0,6040.701463183689,4661.T,164.0,6088.955818576528
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,7004586.606999999,10038647.67389453,9995760.73059153,4661.T,165.0,6040.701463183689,4661.T,164.0,6088.955818576528,4063.T,109.0,9136.418604767628
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478012588021876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478012588021876,4661.T,8026523.867499999,10008128.060859375,10020982.249666221,4661.T,164.0,6088.955818576528,4063.T,109.0,9136.418604767628,4661.T,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478441933812342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478441933812342,4661.T,8045775.817499999,10016713.914179686,10035889.307756271,4063.T,109.0,9136.418604767628,4661.T,0.0,0.0,4661.T,160.0,6214.024139603757
2017-02-16,0.0,0.9173466519134721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9100039294707688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173466519134721,6098.T,8024412.93,9996096.977973633,10017141.4064584,4661.T,0.0,0.0,4661.T,160.0,6214.024139603757,6098.T,601.0,1661.3720700861902
2017-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9054285974604978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9054285974604978,4661.T,7026937.93,10033587.96149414,10017142.32546803,4661.T,160.0,6214.024139603757,6098.T,601.0,1661.3720700861902,4661.T,163.0,6119.484165703238
