,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.6418797358984222,0.6763874924815771,0.0,0.0,0.5058096793391409,0.8906466238142006,0.0,0.0,0.5452214409269296,0.5695356818528192,0.6312280484677174,0.5048989559040872,0.6415795116798932,0.6871104097152142,0.0,0.5515592372673194,0.0,0.5846483016731016,0.5247002845063601,0.9024890274173876,0.9024890274173876,^N225,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,^N225,0.0,0.0
2017-01-05,0.6202784380989136,0.8619345769715518,0.6116419784533177,0.0,0.5054470294234072,0.8333850698344359,0.0,0.0,0.5077050779755408,0.5746603905169452,0.5860166204660121,0.5047678761999866,0.7068416949935029,0.6511057195842771,0.0,0.0,0.5280704799286391,0.5365295676276041,0.5107346032698971,0.748168539141756,0.8619345769715518,6098.T,9000422.0,10014018.627807617,10000000.828065362,4063.T,0.0,0.0,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967
2017-01-06,0.6576745710178185,0.8695305658019621,0.6509943436205761,0.0,0.5082092664469626,0.7137319512277748,0.0,0.0,0.0,0.5698983188281737,0.6064661823012759,0.5048465431562074,0.7517149167665252,0.6534826986414508,0.0,0.8191939936320314,0.0,0.5981863774648494,0.5169136759354936,0.6250775029829708,0.8695305658019621,6098.T,8001606.0,10035451.134643555,10000001.636226458,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315
2017-01-10,0.6621781280536589,0.5983918120035141,0.5660608659506688,0.0,0.5066887971610853,0.7723783649635624,0.0,0.0,0.0,0.6438389317030574,0.627298689292731,0.5042380264234875,0.6210864341668735,0.6384554832295699,0.5039493468606656,0.7474757697165173,0.0,0.5383342360291156,0.5193354532636485,0.5793090963328669,0.7723783649635624,8035.T,7009745.0,10009550.643554688,10000001.71861761,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315,8035.T,104.0,9537.125792222612
2017-01-11,0.6659965516564011,0.8240558711610341,0.6539567101061459,0.0,0.5050641411965562,0.6864717169887378,0.0,0.0,0.0,0.6799951212933384,0.5947336604352473,0.5042741321219879,0.704491847140297,0.5786092552359829,0.0,0.6423470841441788,0.5893743939861806,0.0,0.5273521236575763,0.514972899710277,0.8240558711610341,6098.T,7005725.181,10021738.673919922,9995577.712647859,6098.T,668.0,1495.2347427561315,8035.T,104.0,9537.125792222612,6098.T,674.0,1482.4549571151492
2017-01-12,0.6599548135797955,0.6034937403661647,0.0,0.0,0.5057036836985901,0.7655901596150136,0.0,0.0,0.5104104304825055,0.6041438375712438,0.6234069342576318,0.5048535717632239,0.6136312529082312,0.625957068881312,0.0,0.5584142517701218,0.6131149117988961,0.5317493806952173,0.5297525838120047,0.6301390526049896,0.7655901596150136,8035.T,7022053.8434999995,10061460.912835937,10009186.662964191,8035.T,104.0,9537.125792222612,6098.T,674.0,1482.4549571151492,8035.T,103.0,9670.845592013888
2017-01-13,0.6516188093376898,0.7714075176180702,0.5620009705372049,0.0,0.5059052581580817,0.7456414640269174,0.0,0.0,0.5041180567951523,0.6971784573819853,0.5635750017452527,0.5042741321219879,0.6302749225760813,0.6695977299371996,0.0,0.0,0.0,0.5538790175052511,0.5198036509764967,0.6228611229115125,0.7714075176180702,6098.T,7022173.3225,10052146.596914062,10016223.529055463,6098.T,674.0,1482.4549571151492,8035.T,103.0,9670.845592013888,6098.T,654.0,1527.1842041015627
2017-01-16,0.0,0.0,0.0,0.0,0.5014053178067811,0.5403619046362804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6943713814252468,0.0,0.5080874988917533,0.6943713814252468,7974.T,7050113.846,10059842.218802735,10040711.14529606,8035.T,103.0,9670.845592013888,6098.T,654.0,1527.1842041015627,7974.T,48.0,20744.202788254308
2017-01-17,0.6234040291418775,0.7720148104985257,0.0,0.0,0.5057371161952534,0.6642951066727214,0.0,0.0,0.0,0.5409754271418087,0.5731574671702419,0.5042351219404302,0.6715673028957556,0.5916472661624167,0.0,0.6862862665527956,0.0,0.5334915099026962,0.5308075842633465,0.0,0.7720148104985257,6098.T,7047313.786499999,10066497.655640624,10040535.079888763,6098.T,654.0,1527.1842041015627,7974.T,48.0,20744.202788254308,6098.T,636.0,1570.3161793555578
2017-01-18,0.5883118903453097,0.6379601620463871,0.0,0.0,0.5058557840984088,0.690815904790688,0.0,0.0,0.0,0.0,0.5893123854506244,0.5051125904250359,0.655875233270549,0.6441780217071046,0.0,0.8234729978328649,0.6516539880676141,0.6086244191299172,0.5209437555712794,0.0,0.8234729978328649,6902.T,7066271.631999999,10073500.545085937,10056861.893216947,7974.T,48.0,20744.202788254308,6098.T,636.0,1570.3161793555578,6902.T,230.0,4331.075814393939
