,4063.T,6098.T,6861.T,6758.T,7203.T,8035.T,8306.T,9432.T,9433.T,9984.T,4519.T,4661.T,6367.T,6501.T,6594.T,6902.T,7741.T,7974.T,9983.T,^N225,hm_buy,whatbuy,position,market value,book value,ticker(0),quantity(0),price(0),ticker(1),quantity(1),price(1),ticker(2),quantity(2),price(2)
2017-01-04,0.0,0.0,0.0,0.0,0.0,0.8958204472647253,0.0,0.0,0.0,0.0,0.8910230909948088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9692100284752928,0.9692100284752928,^N225,10000000.0,10000000.0,10000000.0,4063.T,0.0,0.0,4063.T,0.0,0.0,^N225,0.0,0.0
2017-01-05,0.0,0.8993836879126369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8993836879126369,6098.T,9000422.0,10014018.627807617,10000000.828065362,4063.T,0.0,0.0,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967
2017-01-06,0.0,0.8859655123351063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859655123351063,6098.T,8001606.0,10035451.134643555,10000001.636226458,^N225,0.0,0.0,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315
2017-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,7003726.0,9992273.758789062,10000002.371054111,6098.T,675.0,1480.8575230597967,6098.T,668.0,1495.2347427561315,4063.T,114.0,8753.339779189937
2017-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,7998880.381,10001009.534808595,9995577.923988748,6098.T,668.0,1495.2347427561315,4063.T,114.0,8753.339779189937,4063.T,0.0,0.0
2017-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8694226442041373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755814186713302,0.8755814186713302,^N225,9011306.2435,10009504.159515625,10009186.978327652,4063.T,114.0,8753.339779189937,4063.T,0.0,0.0,^N225,0.0,0.0
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,9005811.3355,10007392.84721875,10005066.53880893,4063.T,0.0,0.0,^N225,0.0,0.0,4063.T,114.0,8765.396520253775
2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,9005811.3355,10005912.62846875,10005066.53880893,^N225,0.0,0.0,4063.T,114.0,8765.396520253775,4063.T,0.0,0.0
2017-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.T,9005811.3355,9993435.194875,10005066.53880893,4063.T,114.0,8765.396520253775,4063.T,0.0,0.0,4063.T,0.0,0.0
2017-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932321187522084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932321187522084,4519.T,10000097.518,10000097.518,10000097.518,4063.T,0.0,0.0,4063.T,0.0,0.0,4519.T,0.0,0.0
2017-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522080062248766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929013140062932,0.9929013140062932,^N225,9007790.518,9999547.518,10000097.68216,4063.T,0.0,0.0,4519.T,0.0,0.0,^N225,52.0,19082.83008
2017-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915900096021212,0.915900096021212,^N225,8016715.517999999,10007058.17464,10000098.502439998,4519.T,0.0,0.0,^N225,52.0,19082.83008,^N225,52.0,19059.15039
2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927620262130813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927620262130813,4519.T,7017764.517999999,9975454.44825664,10000098.95290621,^N225,52.0,19082.83008,^N225,52.0,19059.15039,4519.T,938.0,1064.9802243776242
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8913955921933009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9283904407137668,0.9283904407137668,^N225,6993565.734999999,9951917.02580039,9980916.261506211,^N225,52.0,19059.15039,4519.T,938.0,1064.9802243776242,^N225,53.0,18817.41992
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856913943206152,0.856913943206152,^N225,6988106.642999999,9977720.68621289,9977125.333666211,4519.T,938.0,1064.9802243776242,^N225,53.0,18817.41992,^N225,52.0,19091.23047
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85392537500224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925839556912592,0.9925839556912592,^N225,6988952.4695,10015725.40778,9961313.87562,^N225,53.0,18817.41992,^N225,52.0,19091.23047,^N225,51.0,19260.66992
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028139366359004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8777838458882978,0.9028139366359004,4519.T,7015199.766,10016509.442937577,9989356.996377992,^N225,52.0,19091.23047,^N225,51.0,19260.66992,4519.T,934.0,1069.7206424175502
2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064259713903275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8684864910781838,0.9064259713903275,4519.T,7016969.5775,9992090.766008437,9998380.230908696,^N225,51.0,19260.66992,4519.T,934.0,1069.7206424175502,4519.T,946.0,1057.0797119140623
2017-01-31,0.0,0.9188958589272792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606880635645351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9371669035947778,0.9371669035947778,^N225,6992454.306,9943178.68471125,9987128.973208696,4519.T,934.0,1069.7206424175502,4519.T,946.0,1057.0797119140623,^N225,52.0,19145.34961
